Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,SoTA,GA,Saves,Saves%,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Schwengber, Cleiton",40,BRA,Bragantino,2020,1,Santos,Bragantino,90,4,1,3,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,2,Bragantino,Botafogo (RJ),90,3,1,2,.667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,3,Bahia,Bragantino,90,4,2,2,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,4,Bragantino,Fluminense,90,4,1,3,.750,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,5,Bragantino,Coritiba,90,3,2,2,.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,6,Fortaleza,Bragantino,90,6,3,3,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,7,Atlético Paranaense,Bragantino,90,5,1,4,.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,8,Bragantino,Palmeiras,90,4,2,2,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,9,São Paulo,Bragantino,90,4,1,3,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,16,Flamengo,Bragantino,90,10,1,9,.900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,17,Bragantino,Sport Recife,90,2,0,2,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwengber, Cleiton",40,BRA,Bragantino,2020,18,Bragantino,Goiás,90,1,0,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
