Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Adriano, Luiz",10,BRA,Palmeiras,2020,2,Fluminense,Palmeiras,90,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,3,Palmeiras,Goiás,90,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,4,Atlético Paranaense,Palmeiras,67,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,5,Palmeiras,Santos,70,1,0,1,1,2,2,1,0,2,0,0,1,0,1,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,6,Bahia,Palmeiras,23,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,7,Palmeiras,Internacional,90,1,0,0,0,1,1,0,0,3,3,0,0,1,1,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,8,Bragantino,Palmeiras,90,0,0,0,0,1,0,0,0,0,3,0,2,1,0,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,9,Corinthians,Palmeiras,60,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,11,Grêmio,Palmeiras,23,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,15,Palmeiras,São Paulo,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,16,Palmeiras,Coritiba,80,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,17,Fortaleza,Palmeiras,76,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
"Adriano, Luiz",10,BRA,Palmeiras,2020,18,Atlético Goianiense,Palmeiras,72,2,0,0,0,3,2,0,0,2,0,1,0,0,0,0,0,0
