Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Alerrandro,27,BRA,Bragantino,2020,1,Santos,Bragantino,73,0,0,0,0,2,1,0,0,1,1,2,0,0,0,0,0,0
Alerrandro,27,BRA,Bragantino,2020,2,Bragantino,Botafogo (RJ),90,1,0,0,0,4,2,0,0,1,0,1,0,1,0,0,0,0
Alerrandro,27,BRA,Bragantino,2020,3,Bahia,Bragantino,87,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0
Alerrandro,9,BRA,Bragantino,2020,4,Bragantino,Fluminense,90,1,0,0,0,3,1,0,0,1,3,0,0,1,0,0,0,0
Alerrandro,9,BRA,Bragantino,2020,5,Bragantino,Coritiba,48,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Alerrandro,9,BRA,Bragantino,2020,8,Bragantino,Palmeiras,25,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0
Alerrandro,9,BRA,Bragantino,2020,9,São Paulo,Bragantino,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alerrandro,9,BRA,Bragantino,2020,10,Atlético Mineiro,Bragantino,70,1,0,0,0,1,1,0,0,1,1,0,1,0,2,0,0,0
Alerrandro,9,BRA,Bragantino,2020,11,Bragantino,Ceará,83,1,1,0,0,4,2,0,0,1,1,0,0,0,0,0,0,0
Alerrandro,9,BRA,Bragantino,2020,12,Vasco da Gama,Bragantino,82,0,1,0,1,3,2,0,0,0,0,1,2,0,0,0,0,0
Alerrandro,9,BRA,Bragantino,2020,13,Bragantino,Corinthians,90,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Alerrandro,9,BRA,Bragantino,2020,14,Bragantino,Internacional,34,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
