Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,1,Botafogo (RJ),Bahia,90,0,0,0,0,2,0,0,0,4,1,0,2,5,2,0,0,0
"Alexandre, Caio",8,BRA,Botafogo (RJ),2020,2,Bragantino,Botafogo (RJ),79,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"Alexandre, Caio",8,BRA,Botafogo (RJ),2020,3,Fortaleza,Botafogo (RJ),72,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,4,Botafogo (RJ),Atlético Mineiro,45,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"Alexandre, Caio",8,BRA,Botafogo (RJ),2020,5,Flamengo,Botafogo (RJ),60,0,0,0,0,0,0,1,0,2,2,0,1,0,3,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,6,Botafogo (RJ),Internacional,58,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,8,Corinthians,Botafogo (RJ),89,0,0,0,0,1,0,0,0,1,3,0,2,1,1,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,9,Atlético Paranaense,Botafogo (RJ),90,0,0,0,0,2,0,0,0,1,5,1,3,1,1,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,10,Botafogo (RJ),Vasco da Gama,42,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,11,Botafogo (RJ),Santos,84,0,0,0,0,1,1,1,0,3,1,0,2,0,2,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,12,Atlético Goianiense,Botafogo (RJ),45,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,13,Botafogo (RJ),Fluminense,88,1,0,0,0,2,1,0,0,1,2,0,1,2,0,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,14,Botafogo (RJ),Palmeiras,87,1,0,0,0,3,3,0,0,1,2,0,1,1,0,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,15,Sport Recife,Botafogo (RJ),87,1,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,16,Grêmio,Botafogo (RJ),68,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0
"Alexandre, Caio",19,BRA,Botafogo (RJ),2020,17,Botafogo (RJ),Goiás,83,0,0,0,0,3,1,0,0,1,0,1,2,1,0,0,0,0
