Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Alison,5,BRA,Santos,2020,1,Santos,Bragantino,90,0,1,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0
Alison,5,BRA,Santos,2020,2,Internacional,Santos,64,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Alison,5,BRA,Santos,2020,3,Santos,Atlético Paranaense,90,0,0,0,0,0,0,1,0,2,2,0,0,4,2,0,0,0
Alison,5,BRA,Santos,2020,4,Sport Recife,Santos,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Alison,5,BRA,Santos,2020,5,Palmeiras,Santos,89,0,0,0,0,0,0,2,1,3,3,0,0,2,1,0,0,0
Alison,5,BRA,Santos,2020,7,Santos,Vasco da Gama,89,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0
Alison,5,BRA,Santos,2020,8,Ceará,Santos,89,0,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0
Alison,5,BRA,Santos,2020,10,Santos,São Paulo,90,0,0,0,0,0,0,1,0,3,1,0,0,4,1,0,0,0
Alison,5,BRA,Santos,2020,13,Goiás,Santos,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alison,5,BRA,Santos,2020,18,Fluminense,Santos,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
