Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Avelar, Danilo",35,BRA,Corinthians,2020,1,Corinthians,Atlético Goianiense,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,2,Atlético Mineiro,Corinthians,90,0,0,0,0,1,1,0,0,1,0,0,0,0,5,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,3,Grêmio,Corinthians,90,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,4,Corinthians,Coritiba,90,0,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,5,Corinthians,Fortaleza,90,0,0,0,0,1,1,0,0,3,1,0,0,1,1,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,6,São Paulo,Corinthians,90,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,7,Goiás,Corinthians,90,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,8,Corinthians,Botafogo (RJ),90,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,9,Corinthians,Palmeiras,84,0,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,11,Corinthians,Bahia,90,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,12,Sport Recife,Corinthians,90,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,13,Bragantino,Corinthians,90,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
"Avelar, Danilo",35,BRA,Corinthians,2020,14,Corinthians,Santos,90,1,0,0,0,3,2,1,0,2,2,0,1,0,2,0,0,0
