Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Babi, Matheus",11,BRA,Botafogo (RJ),2020,1,Botafogo (RJ),Bahia,35,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0
"Babi, Matheus",9,BRA,Botafogo (RJ),2020,2,Bragantino,Botafogo (RJ),90,1,0,0,0,3,1,1,0,3,4,1,1,0,0,0,0,0
"Babi, Matheus",9,BRA,Botafogo (RJ),2020,3,Fortaleza,Botafogo (RJ),90,0,0,0,0,4,2,0,0,1,2,0,0,0,1,0,0,0
"Babi, Matheus",11,BRA,Botafogo (RJ),2020,4,Botafogo (RJ),Atlético Mineiro,90,0,1,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0
"Babi, Matheus",9,BRA,Botafogo (RJ),2020,5,Flamengo,Botafogo (RJ),77,0,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0
"Babi, Matheus",11,BRA,Botafogo (RJ),2020,6,Botafogo (RJ),Internacional,90,0,0,0,0,1,1,1,0,3,5,0,2,2,0,0,0,0
"Babi, Matheus",11,BRA,Botafogo (RJ),2020,7,Botafogo (RJ),Coritiba,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Babi, Matheus",9,BRA,Botafogo (RJ),2020,8,Corinthians,Botafogo (RJ),79,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0
"Babi, Matheus",9,BRA,Botafogo (RJ),2020,9,Atlético Paranaense,Botafogo (RJ),90,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0
"Babi, Matheus",9,BRA,Botafogo (RJ),2020,10,Botafogo (RJ),Vasco da Gama,90,2,0,0,0,7,4,0,0,2,1,0,2,0,3,0,0,0
"Babi, Matheus",9,BRA,Botafogo (RJ),2020,11,Botafogo (RJ),Santos,90,0,0,0,0,1,0,0,0,3,3,0,4,1,1,0,0,0
"Babi, Matheus",11,BRA,Botafogo (RJ),2020,12,Atlético Goianiense,Botafogo (RJ),90,0,0,0,0,2,0,0,0,3,2,0,1,0,0,0,0,0
"Babi, Matheus",11,BRA,Botafogo (RJ),2020,13,Botafogo (RJ),Fluminense,90,0,0,0,0,1,0,0,0,7,4,0,1,1,1,0,0,0
"Babi, Matheus",11,BRA,Botafogo (RJ),2020,14,Botafogo (RJ),Palmeiras,90,0,0,0,0,2,0,1,0,5,3,0,1,2,0,0,0,0
"Babi, Matheus",11,BRA,Botafogo (RJ),2020,16,Grêmio,Botafogo (RJ),90,1,0,0,0,3,2,1,0,1,1,0,3,2,1,0,0,0
"Babi, Matheus",11,BRA,Botafogo (RJ),2020,17,Botafogo (RJ),Goiás,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
