Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Bessa, Daniel",10,ITA,Goiás,2020,2,Atlético Paranaense,Goiás,80,1,0,1,1,1,1,1,0,1,0,0,4,1,0,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,3,Palmeiras,Goiás,90,0,0,0,0,1,1,1,0,3,1,0,3,0,1,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,4,Goiás,Fortaleza,90,0,0,0,0,3,0,0,0,1,1,0,4,1,1,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,5,Goiás,Atlético Goianiense,75,1,0,0,0,1,1,0,0,2,0,1,2,2,2,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,7,Goiás,Corinthians,90,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,8,Sport Recife,Goiás,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,9,Goiás,Coritiba,79,0,0,0,0,1,0,0,0,3,1,0,6,1,1,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,10,Goiás,Internacional,89,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,11,Flamengo,Goiás,90,0,0,0,0,1,0,0,0,3,0,0,0,1,3,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,12,Ceará,Goiás,82,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,13,Goiás,Santos,90,0,0,0,0,2,1,1,0,2,2,0,4,0,0,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,15,Atlético Mineiro,Goiás,90,0,0,0,0,0,0,0,0,1,1,0,5,4,5,0,0,0
"Bessa, Daniel",10,ITA,Goiás,2020,17,Botafogo (RJ),Goiás,45,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0
