Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Fabinho,7,BRA,Atl Paranaense,2020,7,Atlético Paranaense,Bragantino,35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Fabinho,7,BRA,Atl Paranaense,2020,8,Vasco da Gama,Atlético Paranaense,69,0,0,0,0,1,0,0,0,1,0,0,6,0,1,0,0,0
Fabinho,7,BRA,Atl Paranaense,2020,9,Atlético Paranaense,Botafogo (RJ),68,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0
Fabinho,7,BRA,Atl Paranaense,2020,10,Atlético Paranaense,Coritiba,85,1,0,0,0,3,1,0,0,0,2,0,0,0,1,0,0,0
Fabinho,7,BRA,Atl Paranaense,2020,12,Atlético Paranaense,Bahia,84,0,0,0,0,3,1,0,0,0,0,1,2,2,1,0,0,0
Fabinho,7,BRA,Atl Paranaense,2020,14,Atlético Paranaense,Ceará,90,0,0,0,0,2,0,0,0,0,0,0,4,1,2,0,0,0
Fabinho,7,BRA,Atl Paranaense,2020,15,Internacional,Atlético Paranaense,18,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Fabinho,7,BRA,Atl Paranaense,2020,16,Atlético Paranaense,Corinthians,66,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0
Fabinho,7,BRA,Atl Paranaense,2020,17,Atlético Goianiense,Atlético Paranaense,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Fabinho,7,BRA,Atl Paranaense,2020,18,Atlético Paranaense,Grêmio,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
