Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Guilherme, Marcos",23,BRA,Internacional,2020,1,Coritiba,Internacional,67,0,0,0,0,1,0,0,0,1,0,0,4,1,1,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,2,Internacional,Santos,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,3,Fluminense,Internacional,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,4,Internacional,Atlético Goianiense,73,0,0,0,0,1,1,0,0,1,2,0,4,0,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,5,Internacional,Atlético Mineiro,59,0,0,0,0,0,0,1,0,2,2,3,0,0,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,6,Botafogo (RJ),Internacional,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,7,Palmeiras,Internacional,58,0,0,0,0,0,0,0,0,3,1,0,3,1,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,8,Internacional,Bahia,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,10,Goiás,Internacional,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,12,Internacional,São Paulo,61,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,14,Bragantino,Internacional,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,15,Internacional,Atlético Paranaense,90,0,0,0,0,2,1,0,0,2,1,0,6,1,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,16,Sport Recife,Internacional,90,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,17,Internacional,Vasco da Gama,86,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0
"Guilherme, Marcos",23,BRA,Internacional,2020,18,Internacional,Flamengo,68,0,0,0,0,1,1,0,0,3,0,0,0,2,0,0,0,0
