Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,2,Atlético Paranaense,Goiás,90,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,3,Santos,Atlético Paranaense,90,0,0,0,0,0,0,0,0,2,1,0,0,1,4,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,4,Atlético Paranaense,Palmeiras,90,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,9,Atlético Paranaense,Botafogo (RJ),90,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,10,Atlético Paranaense,Coritiba,90,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,12,Atlético Paranaense,Bahia,90,0,0,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,14,Atlético Paranaense,Ceará,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,15,Internacional,Atlético Paranaense,90,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,16,Atlético Paranaense,Corinthians,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,17,Atlético Goianiense,Atlético Paranaense,90,0,0,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0
"Heleno, Thiago",44,BRA,Atl Paranaense,2020,18,Atlético Paranaense,Grêmio,90,0,1,0,0,2,0,0,0,1,1,0,0,0,2,1,0,0
