Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Lindoso, Rodrigo",19,BRA,Internacional,2020,1,Coritiba,Internacional,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,2,Internacional,Santos,90,0,0,0,0,1,1,0,0,4,0,0,0,1,1,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,3,Fluminense,Internacional,75,0,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,4,Internacional,Atlético Goianiense,17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,5,Internacional,Atlético Mineiro,90,0,0,0,0,1,0,0,0,4,0,0,1,1,2,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,6,Botafogo (RJ),Internacional,90,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,10,Goiás,Internacional,23,0,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,11,Fortaleza,Internacional,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,12,Internacional,São Paulo,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,14,Bragantino,Internacional,90,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,15,Internacional,Atlético Paranaense,90,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,16,Sport Recife,Internacional,69,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,17,Internacional,Vasco da Gama,86,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"Lindoso, Rodrigo",19,BRA,Internacional,2020,18,Internacional,Flamengo,82,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0
