Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Marinho, Rodriguinho",10,BRA,Bahia,2020,2,Bahia,Coritiba,79,1,0,1,1,3,2,0,0,1,4,0,0,0,1,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,3,Bahia,Bragantino,69,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,4,São Paulo,Bahia,63,0,1,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,5,Ceará,Bahia,84,0,0,0,0,2,1,0,0,0,2,0,3,1,0,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,6,Bahia,Palmeiras,77,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,7,Bahia,Flamengo,78,1,0,0,0,4,2,0,0,0,1,0,1,0,0,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,8,Internacional,Bahia,83,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,9,Bahia,Grêmio,75,0,0,0,0,3,3,0,0,0,1,0,6,0,1,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,10,Bahia,Atlético Goianiense,71,0,0,0,0,1,0,0,0,2,4,0,1,0,0,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,11,Corinthians,Bahia,65,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Marinho, Rodriguinho",10,BRA,Bahia,2020,12,Atlético Paranaense,Bahia,70,0,0,0,0,1,0,0,0,1,4,1,0,1,1,0,0,0
