Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Marquinhos,33,BRA,Sport Recife,2020,1,Sport Recife,Ceará,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Marquinhos,50,BRA,Atlético Mineiro,2020,1,Flamengo,Atlético Mineiro,67,0,0,0,0,3,1,0,0,3,0,1,0,1,1,0,0,0
Marquinhos,50,BRA,Atlético Mineiro,2020,2,Atlético Mineiro,Corinthians,45,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,2,Vasco da Gama,Sport Recife,70,0,0,0,0,2,0,1,0,2,7,0,1,2,0,0,0,0
Marquinhos,50,BRA,Atlético Mineiro,2020,3,Atlético Mineiro,Ceará,34,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,3,Atlético Goianiense,Sport Recife,90,0,0,0,0,4,1,0,0,0,5,0,4,1,0,0,0,0
Marquinhos,50,BRA,Atlético Mineiro,2020,4,Botafogo (RJ),Atlético Mineiro,84,0,0,0,0,3,1,0,0,2,2,0,1,2,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,4,Sport Recife,Santos,90,0,0,0,0,0,0,0,0,3,6,0,2,2,1,0,0,0
Marquinhos,50,BRA,Atlético Mineiro,2020,5,Internacional,Atlético Mineiro,45,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,5,Sport Recife,São Paulo,60,0,0,0,0,1,0,0,0,3,6,0,1,1,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,6,Coritiba,Sport Recife,62,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,7,Grêmio,Sport Recife,75,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0
Marquinhos,50,BRA,Atlético Mineiro,2020,7,Atlético Mineiro,São Paulo,26,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Marquinhos,50,BRA,Atlético Mineiro,2020,8,Coritiba,Atlético Mineiro,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,8,Sport Recife,Goiás,78,1,0,0,0,2,1,1,0,1,4,0,1,3,1,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,9,Fortaleza,Sport Recife,85,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
Marquinhos,50,BRA,Atlético Mineiro,2020,9,Santos,Atlético Mineiro,33,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,10,Palmeiras,Sport Recife,90,0,0,0,0,0,0,1,0,3,3,0,1,2,1,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,13,Bahia,Sport Recife,68,0,0,0,0,0,0,1,0,3,1,0,0,2,1,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,14,Flamengo,Sport Recife,72,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,0,0
Marquinhos,50,BRA,Atlético Mineiro,2020,14,Fortaleza,Atlético Mineiro,45,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,15,Sport Recife,Botafogo (RJ),66,0,0,0,0,0,0,0,0,1,5,0,5,1,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,16,Sport Recife,Internacional,76,1,0,0,0,2,1,1,0,0,5,0,1,0,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,17,Bragantino,Sport Recife,70,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0
Marquinhos,33,BRA,Sport Recife,2020,18,Atlético Mineiro,Sport Recife,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
