Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Moledo, Rodrigo",4,BRA,Internacional,2020,5,Internacional,Atlético Mineiro,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,6,Botafogo (RJ),Internacional,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,7,Palmeiras,Internacional,90,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,8,Internacional,Bahia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,9,Internacional,Ceará,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,10,Goiás,Internacional,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,11,Fortaleza,Internacional,90,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,12,Internacional,São Paulo,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,13,Grêmio,Internacional,90,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,14,Bragantino,Internacional,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,16,Sport Recife,Internacional,90,1,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,17,Internacional,Vasco da Gama,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"Moledo, Rodrigo",4,BRA,Internacional,2020,18,Internacional,Flamengo,90,0,0,0,0,0,0,1,0,2,5,0,0,3,2,0,0,0
