Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,1,Grêmio,Fluminense,13,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,4,Bragantino,Fluminense,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,7,Fluminense,Atlético Goianiense,9,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,8,São Paulo,Fluminense,31,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,9,Fluminense,Flamengo,45,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,11,Sport Recife,Fluminense,7,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,12,Fluminense,Coritiba,70,0,0,0,0,1,1,0,0,3,3,0,2,0,1,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,13,Botafogo (RJ),Fluminense,62,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,14,Goiás,Fluminense,45,0,0,0,0,0,0,1,0,2,2,1,3,1,0,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,15,Fluminense,Bahia,75,0,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0
"Pacheco Rivas, Fernando",16,PER,Fluminense,2020,16,Atlético Mineiro,Fluminense,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
