Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Paraíba, Nino",2,BRA,Bahia,2020,1,Botafogo (RJ),Bahia,90,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,2,Bahia,Coritiba,90,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,3,Bahia,Bragantino,90,0,0,0,0,0,0,0,0,1,1,0,2,3,4,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,5,Ceará,Bahia,90,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,6,Bahia,Palmeiras,90,0,0,0,0,1,0,0,0,1,2,0,7,1,3,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,7,Bahia,Flamengo,90,0,0,0,0,0,0,0,0,1,0,0,6,3,3,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,8,Internacional,Bahia,90,0,0,0,0,0,0,1,0,1,0,0,2,4,2,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,9,Bahia,Grêmio,75,0,0,0,0,0,0,1,0,2,0,0,5,0,1,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,10,Bahia,Atlético Goianiense,73,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,11,Corinthians,Bahia,90,1,0,0,0,1,1,1,0,4,1,0,11,1,1,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,13,Bahia,Sport Recife,75,0,0,0,0,0,0,0,0,1,1,0,7,1,3,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,15,Fluminense,Bahia,11,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,16,Goiás,Bahia,90,0,0,0,0,1,0,0,0,4,2,0,5,1,5,0,0,0
"Paraíba, Nino",2,BRA,Bahia,2020,17,Bahia,Atlético Mineiro,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
