Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,1,Grêmio,Fluminense,90,0,0,0,0,0,0,0,0,1,0,0,3,2,3,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,2,Fluminense,Palmeiras,90,0,0,0,0,0,0,0,0,1,2,0,3,2,1,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,3,Fluminense,Internacional,90,0,0,0,0,3,2,0,0,1,3,0,4,2,0,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,4,Bragantino,Fluminense,90,0,0,0,0,1,0,0,0,0,1,0,5,3,1,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,5,Atlético Paranaense,Fluminense,90,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,6,Fluminense,Vasco da Gama,90,0,1,0,0,1,0,0,0,1,0,0,2,2,2,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,7,Fluminense,Atlético Goianiense,90,0,0,0,0,0,0,0,0,2,0,0,2,1,3,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,8,São Paulo,Fluminense,90,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,9,Fluminense,Flamengo,90,0,1,0,0,1,0,0,0,1,0,0,8,3,0,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,11,Sport Recife,Fluminense,90,0,0,0,0,2,1,0,0,1,0,0,10,1,2,0,0,0
"Pereira Júnior, Egídio",6,BRA,Fluminense,2020,16,Atlético Mineiro,Fluminense,90,0,0,0,0,1,1,0,0,1,0,0,9,1,1,0,0,0
