Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Peres Petroni, Luan",14,BRA,Santos,2020,1,Santos,Bragantino,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,2,Internacional,Santos,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,3,Santos,Atlético Paranaense,90,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,4,Sport Recife,Santos,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,5,Palmeiras,Santos,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,6,Santos,Flamengo,90,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,7,Santos,Vasco da Gama,45,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,8,Ceará,Santos,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,10,Santos,São Paulo,90,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,11,Botafogo (RJ),Santos,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,12,Santos,Fortaleza,90,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,13,Goiás,Santos,90,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,14,Corinthians,Santos,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,15,Santos,Grêmio,90,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,16,Santos,Atlético Goianiense,90,0,0,0,0,0,0,0,0,2,4,0,1,1,1,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,17,Coritiba,Santos,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Peres Petroni, Luan",14,BRA,Santos,2020,18,Fluminense,Santos,90,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,0,0
