Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Ramires,18,BRA,Palmeiras,2020,2,Fluminense,Palmeiras,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ramires,18,BRA,Palmeiras,2020,3,Palmeiras,Goiás,58,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0
Ramires,18,BRA,Palmeiras,2020,4,Atlético Paranaense,Palmeiras,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramires,18,BRA,Palmeiras,2020,5,Palmeiras,Santos,45,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0
Ramires,18,BRA,Palmeiras,2020,6,Bahia,Palmeiras,23,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Ramires,18,BRA,Palmeiras,2020,7,Palmeiras,Internacional,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Ramires,18,BRA,Palmeiras,2020,9,Corinthians,Palmeiras,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Ramires,18,BRA,Palmeiras,2020,10,Palmeiras,Sport Recife,45,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0
Ramires,18,BRA,Palmeiras,2020,11,Grêmio,Palmeiras,67,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0
Ramires,18,BRA,Palmeiras,2020,13,Palmeiras,Ceará,23,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Ramires,18,BRA,Palmeiras,2020,14,Botafogo (RJ),Palmeiras,39,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
Ramires,18,BRA,Palmeiras,2020,15,Palmeiras,São Paulo,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ramires,18,BRA,Palmeiras,2020,16,Palmeiras,Coritiba,58,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
Ramires,18,BRA,Palmeiras,2020,18,Atlético Goianiense,Palmeiras,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
