Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,1,Botafogo (RJ),Bahia,90,1,0,0,0,3,1,0,0,1,2,0,1,0,0,0,0,0
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,4,Botafogo (RJ),Atlético Mineiro,45,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"Raul, Pedro",18,BRA,Botafogo (RJ),2020,5,Flamengo,Botafogo (RJ),34,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,6,Botafogo (RJ),Internacional,86,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,7,Botafogo (RJ),Coritiba,90,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0
"Raul, Pedro",18,BRA,Botafogo (RJ),2020,10,Botafogo (RJ),Vasco da Gama,33,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,12,Atlético Goianiense,Botafogo (RJ),69,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,13,Botafogo (RJ),Fluminense,45,0,0,0,0,4,4,0,0,1,1,0,1,0,0,0,0,0
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,14,Botafogo (RJ),Palmeiras,87,1,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,0
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,15,Sport Recife,Botafogo (RJ),90,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,16,Grêmio,Botafogo (RJ),90,0,1,0,0,4,1,0,0,1,1,0,0,0,2,0,0,0
"Raul, Pedro",9,BRA,Botafogo (RJ),2020,17,Botafogo (RJ),Goiás,90,0,0,0,0,5,1,0,0,1,0,1,0,2,0,0,0,0
