Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Ricardo,25,BRA,Bragantino,2020,1,Santos,Bragantino,80,0,0,0,0,2,0,1,0,2,2,0,0,2,2,0,0,0
Ricardo,25,BRA,Bragantino,2020,2,Bragantino,Botafogo (RJ),75,0,0,0,0,1,0,1,0,3,0,0,1,1,5,0,0,0
Ricardo,36,BRA,Vasco da Gama,2020,2,Vasco da Gama,Sport Recife,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ricardo,25,BRA,Bragantino,2020,3,Bahia,Bragantino,90,0,0,0,0,1,0,1,0,4,1,0,0,0,1,0,0,0
Ricardo,36,BRA,Vasco da Gama,2020,3,Vasco da Gama,São Paulo,90,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0
Ricardo,36,BRA,Vasco da Gama,2020,4,Ceará,Vasco da Gama,90,0,0,0,0,1,1,1,0,1,3,0,0,1,0,0,0,0
Ricardo,36,BRA,Vasco da Gama,2020,5,Vasco da Gama,Grêmio,90,0,0,0,0,2,0,0,0,0,2,0,0,2,1,0,0,0
Ricardo,25,BRA,Bragantino,2020,5,Bragantino,Coritiba,90,0,0,0,0,0,0,0,0,2,1,0,0,1,7,0,0,0
Ricardo,36,BRA,Vasco da Gama,2020,6,Fluminense,Vasco da Gama,90,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0
Ricardo,25,BRA,Bragantino,2020,6,Fortaleza,Bragantino,80,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0
Ricardo,25,BRA,Bragantino,2020,7,Atlético Paranaense,Bragantino,78,0,0,0,0,3,0,0,0,4,2,0,0,2,0,0,0,0
Ricardo,25,BRA,Bragantino,2020,8,Bragantino,Palmeiras,52,0,0,0,0,0,0,1,0,3,3,0,0,2,2,0,0,0
Ricardo,25,BRA,Bragantino,2020,9,São Paulo,Bragantino,90,0,0,0,0,1,0,1,0,9,1,1,1,0,2,0,0,0
Ricardo,25,BRA,Bragantino,2020,10,Atlético Mineiro,Bragantino,90,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0
Ricardo,36,BRA,Vasco da Gama,2020,10,Botafogo (RJ),Vasco da Gama,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ricardo,25,BRA,Bragantino,2020,11,Bragantino,Ceará,54,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0
Ricardo,25,BRA,Bragantino,2020,13,Bragantino,Corinthians,81,0,0,0,0,1,1,1,0,5,1,0,0,0,2,0,0,0
Ricardo,36,BRA,Vasco da Gama,2020,13,Atlético Mineiro,Vasco da Gama,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ricardo,36,BRA,Vasco da Gama,2020,14,Bahia,Vasco da Gama,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo,25,BRA,Bragantino,2020,14,Bragantino,Internacional,62,0,0,0,0,1,0,1,0,2,4,0,0,1,0,0,0,0
Ricardo,25,BRA,Bragantino,2020,15,Atlético Goianiense,Bragantino,89,0,0,0,0,2,1,0,0,4,1,0,0,2,2,0,0,0
Ricardo,25,BRA,Bragantino,2020,16,Flamengo,Bragantino,90,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0
Ricardo,25,BRA,Bragantino,2020,17,Bragantino,Sport Recife,87,1,0,0,0,4,2,0,0,1,1,0,1,1,2,0,0,0
Ricardo,25,BRA,Bragantino,2020,18,Bragantino,Goiás,90,0,0,0,0,0,0,0,0,1,1,0,0,2,5,0,0,0
