Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Rocha, Marcos",2,BRA,Palmeiras,2020,2,Fluminense,Palmeiras,90,0,0,0,0,0,0,0,0,6,0,0,2,1,2,0,0,0
"Rocha, Marcos",2,BRA,Palmeiras,2020,3,Palmeiras,Goiás,90,0,0,0,0,1,0,0,0,2,1,0,3,1,4,0,0,0
"Rocha, Marcos",2,BRA,Palmeiras,2020,4,Atlético Paranaense,Palmeiras,90,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,0,0
"Rocha, Marcos",2,BRA,Palmeiras,2020,5,Palmeiras,Santos,27,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
"Rocha, Marcos",2,BRA,Palmeiras,2020,10,Palmeiras,Sport Recife,11,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
"Rocha, Marcos",2,BRA,Palmeiras,2020,11,Grêmio,Palmeiras,90,0,0,0,0,0,0,0,0,2,1,0,1,5,2,0,0,0
"Rocha, Marcos",2,BRA,Palmeiras,2020,13,Palmeiras,Ceará,90,0,0,0,0,0,0,0,0,1,3,0,0,3,1,0,0,0
"Rocha, Marcos",2,BRA,Palmeiras,2020,14,Botafogo (RJ),Palmeiras,90,0,0,0,0,0,0,1,0,3,0,0,3,1,1,0,0,0
"Rocha, Marcos",2,BRA,Palmeiras,2020,15,Palmeiras,São Paulo,90,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0
"Rocha, Marcos",2,BRA,Palmeiras,2020,16,Palmeiras,Coritiba,45,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0
