Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Rossi,11,BRA,Bahia,2020,1,Botafogo (RJ),Bahia,31,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Rossi,11,BRA,Bahia,2020,2,Bahia,Coritiba,62,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0
Rossi,11,BRA,Bahia,2020,3,Bahia,Bragantino,69,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
Rossi,11,BRA,Bahia,2020,4,São Paulo,Bahia,72,1,0,0,0,1,1,0,0,2,3,0,1,1,0,0,0,0
Rossi,11,BRA,Bahia,2020,5,Ceará,Bahia,84,0,0,0,0,3,2,0,0,2,5,0,3,0,0,0,0,0
Rossi,11,BRA,Bahia,2020,6,Bahia,Palmeiras,74,0,0,0,0,0,0,1,0,2,0,1,3,0,0,0,0,0
Rossi,11,BRA,Bahia,2020,7,Bahia,Flamengo,67,0,0,0,0,0,0,0,0,1,0,1,5,1,0,0,0,0
Rossi,11,BRA,Bahia,2020,8,Internacional,Bahia,23,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0
Rossi,11,BRA,Bahia,2020,9,Bahia,Grêmio,45,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Rossi,11,BRA,Bahia,2020,10,Bahia,Atlético Goianiense,34,0,0,0,0,0,0,1,0,1,2,0,3,0,0,0,0,0
Rossi,11,BRA,Bahia,2020,11,Corinthians,Bahia,45,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0
Rossi,11,BRA,Bahia,2020,12,Atlético Paranaense,Bahia,19,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0
Rossi,11,BRA,Bahia,2020,14,Bahia,Vasco da Gama,64,1,0,0,0,2,1,1,0,1,0,0,3,0,1,0,0,0
Rossi,11,BRA,Bahia,2020,15,Fluminense,Bahia,76,0,0,0,0,2,0,0,0,0,2,0,3,0,1,0,0,0
Rossi,11,BRA,Bahia,2020,16,Goiás,Bahia,74,0,0,0,0,1,0,2,1,0,2,2,10,1,1,0,0,0
