Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Vitinho,11,BRA,Flamengo,2020,1,Flamengo,Atlético Mineiro,11,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,2,Atlético Goianiense,Flamengo,45,0,0,0,0,1,0,0,0,2,0,0,5,1,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,4,Flamengo,Grêmio,28,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,5,Flamengo,Botafogo (RJ),26,0,0,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0
Vitinho,11,BRA,Flamengo,2020,7,Bahia,Flamengo,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,9,Fluminense,Flamengo,23,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,10,Ceará,Flamengo,77,0,0,0,0,4,1,0,0,1,1,0,12,0,1,0,0,0
Vitinho,11,BRA,Flamengo,2020,13,Flamengo,Atlético Paranaense,45,0,0,0,0,1,0,0,0,2,0,0,3,1,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,14,Flamengo,Sport Recife,14,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,15,Vasco da Gama,Flamengo,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,16,Flamengo,Bragantino,45,0,0,0,0,5,3,0,0,0,0,1,4,0,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,17,Corinthians,Flamengo,72,1,0,0,0,2,1,0,0,1,1,0,3,3,0,0,0,0
Vitinho,11,BRA,Flamengo,2020,18,Internacional,Flamengo,87,0,0,0,0,1,0,1,0,4,1,0,4,1,0,0,0,0
