Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
Élber,7,BRA,Bahia,2020,1,Botafogo (RJ),Bahia,23,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Élber,7,BRA,Bahia,2020,2,Bahia,Coritiba,90,0,0,0,0,1,1,0,0,1,4,0,3,0,0,0,0,0
Élber,7,BRA,Bahia,2020,3,Bahia,Bragantino,90,0,1,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0
Élber,7,BRA,Bahia,2020,4,São Paulo,Bahia,90,0,0,0,0,3,1,0,0,1,2,0,4,3,0,0,0,0
Élber,7,BRA,Bahia,2020,5,Ceará,Bahia,64,0,0,0,0,1,1,0,0,1,3,1,8,1,2,0,0,0
Élber,7,BRA,Bahia,2020,6,Bahia,Palmeiras,90,0,0,0,0,1,0,0,0,1,4,0,4,0,0,0,0,0
Élber,7,BRA,Bahia,2020,7,Bahia,Flamengo,90,1,0,0,0,5,2,0,0,0,3,1,1,0,1,0,0,0
Élber,7,BRA,Bahia,2020,8,Internacional,Bahia,90,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
Élber,7,BRA,Bahia,2020,9,Bahia,Grêmio,90,0,0,0,0,1,1,0,0,2,3,0,6,1,2,0,0,0
Élber,7,BRA,Bahia,2020,10,Bahia,Atlético Goianiense,90,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0
Élber,7,BRA,Bahia,2020,11,Corinthians,Bahia,75,0,0,0,0,6,2,0,0,1,0,1,9,0,1,0,0,0
Élber,7,BRA,Bahia,2020,12,Atlético Paranaense,Bahia,45,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Élber,7,BRA,Bahia,2020,13,Bahia,Sport Recife,56,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Élber,7,BRA,Bahia,2020,14,Bahia,Vasco da Gama,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Élber,7,BRA,Bahia,2020,15,Fluminense,Bahia,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Élber,7,BRA,Bahia,2020,16,Goiás,Bahia,23,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0
